ID_OK;Coord_x;Coord_y;Coord_z
1;689765,1601;5830212,341;573,8
2;689764,3563;5830220,547;573,1
3;689766,8275;5830229,341;573,4
4;689765,2037;5830238,205;572,7
5;689771,4044;5830211,734;577,9
6;689776,8345;5830219,227;579,1
7;689775,6647;5830228,986;579,1
8;689772,4495;5830239,237;578,3
9;689781,8435;5830228,37;580,4
10;689780,8092;5830246,877;577,7
11;689768,579;5830248,047;576,7
12;689799,0441;5830207,588;581
13;689799,3561;5830220,605;580
14;689796,0275;5830232,142;578,8
15;689799,3591;5830237,233;577,2
16;689811,5739;5830210,551;577,5
17;689805,3567;5830221,183;576,8
18;689764,4516;5830250,05;575,3
19;689776,0166;5830255,051;574,8
20;689794,8241;5830252,281;573,9
21;689794,9154;5830252,989;573,5
22;689799,4694;5830256,998;572,7
23;689781,0464;5830240,79;575,8
24;689793,9255;5830281,238;569,2
25;689793,9806;5830299,562;566,1
26;689786,5477;5830298,229;564,9
27;689776,0678;5830271,322;569
28;689779,2072;5830282,612;566,7
29;689768,5029;5830301,465;563,9
30;689777,0151;5830292,944;564,9
31;689765,7987;5830257,133;568,5
32;689769,5269;5830263,465;567,9
33;689765,9925;5830264,386;567,6
34;689769,025;5830271,25;567,4
35;689768,6531;5830270,815;566,2
36;689767,7527;5830276,701;565,9
37;689771,126;5830282,183;565,5
38;689770,0505;5830287,935;564,9
39;689767,663;5830295,945;569,3
40;689805,8426;5830228,357;574,7
41;689818,0809;5830235,809;575,1
42;689819,5382;5830208,311;578,4
43;689822,6277;5830245,156;573,4
44;689810,1994;5830244;575,2
45;689839,1207;5830163,409;587,5
46;689833,135;5830178,356;583
47;689843,4943;5830175,939;581,6
48;689846,1375;5830176,845;579,5
49;689770,0091;5830236,091;571,5
50;689765,0821;5830310,143;562,6
51;689761,209;5830320,344;561,3
52;689764,4117;5830324,856;560,5
53;689767,7236;5830327,741;560,5
54;689764,9033;5830331,469;560,5
55;689778,269;5830310,733;560,2
56;689778,9137;5830318,246;560,5
57;689774,5327;5830328,242;561,7
58;689773,9138;5830325,428;563,7
59;689785,4633;5830340,977;562,9
60;689784,0652;5830351,791;563,9
61;689766,2948;5830355,912;564,3
62;689772,3679;5830326,106;565,3
63;689768,5434;5830344,617;568,4
64;689762,7243;5830368,031;565,7
65;689793,4437;5830255,055;576
66;689812,3636;5830252,913;573,2
67;689816,452;5830255,636;572,2
68;689823,4928;5830218,126;575,9
69;689823,0407;5830236,499;573,7
70;689821,0432;5830269,109;570,5
71;689812,4307;5830272,95;571
72;689823,8799;5830274,787;568,2
73;689806,389;5830281,194;570,3
74;689807,4769;5830296,059;567,7
75;689817,0596;5830292,833;566,5
76;689823,0726;5830293,299;564,9
77;689822,315;5830300,247;564,4
78;689822,2018;5830300,583;564,5
79;689820,1771;5830305,825;563,2
80;689815,9875;5830308,116;563,2
81;689798,6363;5830299,042;566,3
82;689818,4818;5830310,186;562,8
83;689817,837;5830319,972;561
84;689822,1447;5830329,439;558,7
85;689824,1554;5830334,354;557,5
86;689825,9422;5830339,057;556,8
